,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
384108,13242080110000,2020.0,278,3720.0,9.0,7.0,4.0,1.0,3.0,1.0,2377.0,-87.69037496483901,41.94757513252205
384109,13242080120000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,3.0,1.0,2377.0,-87.69037242908044,41.94749282032584
384110,13242080130000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,3.0,1.0,2400.0,-87.69036991058981,41.947410534897024
384111,13242080140000,2020.0,278,3720.0,9.0,9.0,4.0,2.0,3.0,1.0,2415.0,-87.69036737445883,41.94732822044152
384112,13242080150000,2020.0,203,3704.0,62.0,5.0,3.0,0.0,1.0,0.0,1070.0,-87.69036540038967,41.94724459349389
384113,13242080160000,2020.0,278,4503.0,3.0,8.0,4.0,1.0,3.0,1.0,2898.0,-87.68988460016004,41.948411318779264
384114,13242080170000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,1.0,1.0,2242.0,-87.6898816927892,41.94832044410487
384115,13242080180000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,1.0,1.0,2378.0,-87.68987906340966,41.94823815584095
384116,13242080190000,2020.0,202,3720.0,101.0,4.0,2.0,0.0,1.0,0.0,955.0,-87.68987641879855,41.9481557607704
384117,13242080200000,2020.0,202,3720.0,101.0,5.0,2.0,0.0,1.0,1.0,901.0,-87.68987379054889,41.94807347443046
384118,13242080210000,2020.0,203,3720.0,101.0,5.0,3.0,0.0,1.0,1.0,1359.0,-87.68987118095149,41.947991132381624
384119,13242080220000,2020.0,203,3720.0,95.0,5.0,2.0,0.0,1.0,0.0,1100.0,-87.68986853527792,41.94790881976222
384120,13242080230000,2020.0,203,3720.0,96.0,4.0,2.0,0.0,1.0,0.0,1751.0,-87.68986590846407,41.947826506031205
384121,13242080240000,2020.0,205,3720.0,101.0,8.0,4.0,0.0,2.0,0.0,1962.0,-87.68986328075242,41.94774419236115
384122,13242080250000,2020.0,202,3720.0,101.0,5.0,2.0,0.0,1.0,1.0,955.0,-87.68986063377508,41.947661904986795
384123,13242080260000,2020.0,278,3720.0,6.0,8.0,4.0,2.0,3.0,1.0,2525.0,-87.68985802468013,41.94757961976098
384124,13242080270000,2020.0,278,3720.0,6.0,7.0,4.0,2.0,1.0,1.0,2368.0,-87.68985539736333,41.94749730572745
384126,13242080290000,2020.0,206,3720.0,115.0,7.0,4.0,1.0,3.0,0.0,2400.0,-87.6898501246225,41.94733267956113
384127,13242080300000,2020.0,204,3704.0,101.0,10.0,4.0,1.0,2.0,0.0,1839.0,-87.68984661981274,41.94724887978954
384128,13242080310000,2020.0,203,3360.0,59.0,4.0,2.0,0.0,1.0,0.0,1092.0,-87.69053644143996,41.94698502376157
384132,13242080360000,2020.0,206,3750.0,103.0,8.0,4.0,0.0,2.0,0.0,2504.0,-87.6897643609198,41.946991236120326
384133,13242080370000,2020.0,278,3358.0,6.0,7.0,4.0,2.0,2.0,1.0,2811.0,-87.68965930663674,41.94699179821593
384134,13242090010000,2020.0,203,3553.0,94.0,6.0,3.0,0.0,1.0,1.0,1312.0,-87.68918576554215,41.94842744886204
384135,13242090020000,2020.0,203,3720.0,96.0,5.0,2.0,0.0,1.0,0.0,1060.0,-87.68918310516308,41.948345890173655
384136,13242090030000,2020.0,203,3720.0,103.0,8.0,3.0,0.0,3.0,1.0,1776.0,-87.68918037987739,41.94826245076442
384138,13242090050000,2020.0,205,3720.0,113.0,6.0,3.0,0.0,1.0,1.0,1763.0,-87.68917496596289,41.9480954896578
384140,13242090070000,2020.0,202,3720.0,100.0,5.0,2.0,0.0,1.0,0.0,955.0,-87.68916951523246,41.94792852827373
384142,13242090090000,2020.0,278,3720.0,6.0,7.0,4.0,1.0,2.0,1.0,2398.0,-87.68916408224422,41.947761566203134
384143,13242090100000,2020.0,278,3720.0,6.0,8.0,4.0,0.0,3.0,1.0,2428.0,-87.6891613764131,41.94767807332859
384144,13242090110000,2020.0,203,4836.0,99.0,4.0,2.0,0.0,1.0,0.0,1034.0,-87.68915825742386,41.94758184376535
384146,13242090130000,2020.0,203,3224.0,52.0,5.0,3.0,0.0,1.0,0.0,1123.0,-87.68915177359099,41.9473830984608
384147,13242090140000,2020.0,203,3224.0,112.0,8.0,4.0,0.0,2.0,0.0,1328.0,-87.68914941505402,41.947310720589385
384148,13242090150000,2020.0,278,3406.0,6.0,8.0,4.0,1.0,3.0,1.0,2204.0,-87.68914800318868,41.94724322519816
384151,13242090410000,2020.0,278,2814.0,6.0,8.0,4.0,0.0,3.0,1.0,2422.0,-87.68895300283498,41.946997052002
384152,13242090420000,2020.0,278,3095.0,6.0,8.0,4.0,0.0,3.0,1.0,2395.0,-87.68903992339521,41.94699708091127
384153,13242090430000,2020.0,278,3094.0,6.0,8.0,4.0,0.0,3.0,1.0,2422.0,-87.68913090937129,41.94699636751935
384154,13242090440000,2020.0,278,3219.0,6.0,8.0,4.0,0.0,3.0,1.0,2422.0,-87.68922373625547,41.946995638948465
